Datetime,RH(%)_11,RH(%)_12,RH(%)_13,RH(%)_14,RH(%)_15,RH(%)
2017-11-15 14:00:00,77.651,69.817,59.681,76.361,59.912,79
2017-11-15 15:00:00,75.293,65.188,59.09,75.558,59.113,74
2017-11-15 16:00:00,70.665,68.425,58.881,73.752,59.239,70
2017-11-15 17:00:00,69.599,68.966,53.395,73.718,59.993,74
2017-11-15 18:00:00,75.09,69.208,56.378,74.744,60.105,84
2017-11-15 19:00:00,75.767,69.842,60.664,77.71,61.268,79
2017-11-15 20:00:00,71.702,70.204,58.504,77.911,62.689,79
2017-11-15 21:00:00,70.239,70.506,58.937,81.723,63.085,70
2017-11-15 22:00:00,69.935,64.479,59.206,77.186,64.426,74
2017-11-15 23:00:00,70.311,48.301,60.821,80.118,65.025,79
2017-11-16 00:00:00,78.62,49.386,68.13,80.043,65.871,100
2017-11-16 01:00:00,80.134,57.08,72.409,79.499,65.071,94
2017-11-16 02:00:00,80.939,61.056,71.242,81.243,65.608,89
2017-11-16 03:00:00,81.405,62.866,61.329,80.792,65.023,94
2017-11-16 04:00:00,82.262,63.86,61.821,81.709,65.927,94
2017-11-16 05:00:00,82.881,64.789,64.808,82.354,66.672,94
2017-11-16 06:00:00,83.561,58.313,68.194,84.072,67.159,94
2017-11-16 07:00:00,80.921,61.53,73.401,84.102,68.251,94
2017-11-16 08:00:00,76.017,65.873,72.611,81.925,68.311,89
2017-11-16 09:00:00,72.608,67.218,60.867,80.751,66.849,94
2017-11-16 10:00:00,81.002,68.713,61.253,79.807,66.423,94
2017-11-16 11:00:00,79.157,69.473,58.718,78.457,63.193,94
2017-11-16 12:00:00,78.264,69.659,57.384,77.779,62.574,94
2017-11-16 13:00:00,77.598,69.814,58.102,77.7,61.824,89
2017-11-16 14:00:00,75.893,70.15,56.89,78.39,61.367,84
2017-11-16 15:00:00,68.94,70.456,55.627,80.059,61.149,79
2017-11-16 16:00:00,70.554,71.091,55.783,80.682,61.613,75
2017-11-16 17:00:00,58.352,71.511,55.154,80.658,61.187,70
2017-11-16 18:00:00,78.697,71.905,56.588,80.476,62.704,66
2017-11-16 19:00:00,72.454,71.91,63.351,80.721,62.451,75
2017-11-16 20:00:00,79.045,72.03,58.483,81.064,64.131,84
2017-11-16 21:00:00,73.436,50.869,58.699,84.072,66.307,74
2017-11-16 22:00:00,68.299,45.136,61.089,84.611,68.465,74
2017-11-16 23:00:00,66.925,43.419,67.074,84.975,69.655,84
2017-11-17 00:00:00,70.522,44.745,72.117,84.68,70.611,89
2017-11-17 01:00:00,67.894,49.958,65.811,82.061,70.446,89
2017-11-17 02:00:00,66.705,55.457,59.552,82.401,70.476,89
2017-11-17 03:00:00,70.934,57.335,59.917,80.927,70.458,84
2017-11-17 04:00:00,71.938,59.605,61.471,81.896,70.467,84
2017-11-17 05:00:00,72.196,61.206,63.401,80.975,70.441,84
2017-11-17 06:00:00,74.755,62.365,67.917,81.153,70.492,89
2017-11-17 07:00:00,76.227,62.658,69.808,81.369,70.594,89
2017-11-17 08:00:00,77.997,67.864,62.707,81.332,68.983,94
2017-11-17 09:00:00,71.757,67.903,61.779,78.036,68.308,94
2017-11-17 10:00:00,81.872,68.189,64.043,77.011,66.634,94
2017-11-17 11:00:00,81.033,67.136,59.879,74.976,65.525,100
2017-11-17 12:00:00,73.87,67.752,61.534,74.515,63.05,94
2017-11-17 13:00:00,69.535,68.366,59.639,74.99,62.031,100
2017-11-17 14:00:00,73.582,68.556,58.389,74.628,60.915,94
2017-11-17 15:00:00,77.236,69.29,55.495,75.819,61.146,84
2017-11-17 16:00:00,76.428,69.661,55.575,78.262,60.772,89
