Datetime,T(C)_11,T(C)_12,T(C)_13,T(C)_14,T(C)_15,T(C)
2017-11-15 14:00:00,28.276,28.822,24.031,29.171,25.701,27.78
2017-11-15 15:00:00,28.4,28.798,24.392,29.146,25.944,30
2017-11-15 16:00:00,27.536,28.822,24.441,29.022,25.555,30
2017-11-15 17:00:00,27.29,28.798,24.9,28.847,25.628,30
2017-11-15 18:00:00,27.216,28.798,24.296,28.773,25.749,28.89
2017-11-15 19:00:00,27.069,28.798,23.838,28.276,25.312,30
2017-11-15 20:00:00,26.848,28.798,23.597,28.4,25.191,28.89
2017-11-15 21:00:00,26.848,28.798,23.405,25.215,24.997,30
2017-11-15 22:00:00,26.823,28.599,23.549,28.004,24.827,28.89
2017-11-15 23:00:00,26.75,27.585,23.669,27.118,24.779,27.78
2017-11-16 00:00:00,27.019,27.757,23.79,27.585,24.779,26.11
2017-11-16 01:00:00,27.191,27.98,23.693,27.757,24.876,27.22
2017-11-16 02:00:00,27.314,28.054,23.285,27.659,24.827,27.78
2017-11-16 03:00:00,27.339,28.153,23.213,27.708,24.948,27.22
2017-11-16 04:00:00,27.314,28.202,23.237,27.683,24.924,27.22
2017-11-16 05:00:00,27.265,28.252,23.333,27.609,24.876,26.11
2017-11-16 06:00:00,27.24,28.252,23.645,27.486,24.731,26.11
2017-11-16 07:00:00,27.093,28.301,23.669,27.363,24.634,26.11
2017-11-16 08:00:00,26.848,28.326,23.525,28.153,24.634,26.11
2017-11-16 09:00:00,26.921,28.351,23.573,28.475,24.682,26.11
2017-11-16 10:00:00,27.339,28.4,23.309,28.822,24.827,26.11
2017-11-16 11:00:00,27.93,28.425,23.982,29.071,24.731,26.11
2017-11-16 12:00:00,27.98,28.45,23.958,29.196,25.045,26.11
2017-11-16 13:00:00,28.301,28.475,24.199,29.096,25.142,27.22
2017-11-16 14:00:00,28.301,28.499,24.392,29.171,25.167,28.89
2017-11-16 15:00:00,27.98,28.524,24.924,28.773,25.142,30
2017-11-16 16:00:00,27.585,28.549,24.706,28.698,25.167,31.11
