firmware_project;environment;library;version;resolution
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;lolin32_Conv1D_Tiny;Adafruit BusIO;1.17.4;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;lolin32_Conv1D_Tiny;Adafruit GFX Library;1.12.6;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;lolin32_Conv1D_Tiny;Adafruit INA219;1.2.3;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;lolin32_Conv1D_Tiny;Adafruit NeoPixel;1.15.5;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;lolin32_Conv1D_Tiny;Adafruit SSD1306;2.5.17;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;lolin32_Conv1D_Tiny;ArduinoJson;7.4.3;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;lolin32_Conv1D_Tiny;AsyncTCP;3.5.0;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;lolin32_Conv1D_Tiny;ESP8266 and ESP32 OLED driver for SSD1306 displays;4.6.2;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;lolin32_Conv1D_Tiny;ESPAsyncWebServer;3.11.2;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;lolin32_Conv1D_Tiny;PubSubClient;2.8.0;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;nucleo_f411re_Conv1D_Tiny;Adafruit BusIO;1.17.4;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;nucleo_f411re_Conv1D_Tiny;Adafruit GFX Library;1.12.6;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;nucleo_f411re_Conv1D_Tiny;Adafruit INA219;1.2.3;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;nucleo_f411re_Conv1D_Tiny;Adafruit NeoPixel;1.15.5;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;nucleo_f411re_Conv1D_Tiny;Adafruit SSD1306;2.5.17;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny;nucleo_f411re_Conv1D_Tiny;ArduinoJson;7.4.3;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_lstm/PlatfIO_lstm;lolin32_lstm;Adafruit BusIO;1.17.4;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_lstm/PlatfIO_lstm;lolin32_lstm;Adafruit GFX Library;1.12.6;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_lstm/PlatfIO_lstm;lolin32_lstm;Adafruit INA219;1.2.3;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_lstm/PlatfIO_lstm;lolin32_lstm;Adafruit NeoPixel;1.15.5;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_lstm/PlatfIO_lstm;lolin32_lstm;Adafruit SSD1306;2.5.17;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_lstm/PlatfIO_lstm;lolin32_lstm;ArduinoJson;7.4.3;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_lstm/PlatfIO_lstm;lolin32_lstm;AsyncTCP;3.5.0;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_lstm/PlatfIO_lstm;lolin32_lstm;ESP8266 and ESP32 OLED driver for SSD1306 displays;4.6.2;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_lstm/PlatfIO_lstm;lolin32_lstm;ESPAsyncWebServer;3.11.2;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_lstm/PlatfIO_lstm;lolin32_lstm;PubSubClient;2.8.0;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_lstm/PlatfIO_lstm;nucleo_f411re_lstm;Adafruit BusIO;1.17.4;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
firmwares/environment_lstm/PlatfIO_lstm;nucleo_f411re_lstm;Adafruit GFX Library;1.12.6;"Preserved under `.pio/libdeps`; also declared in `platformio.ini`."
