idx,epoch,out_idx,tensor_index,type_code,type_name,bytes_total,bytes_dumped,dims_size,dim00,dim01,dim02,dim03,dim04,dim05,dim06,dim07,b00_hex,b01_hex,b02_hex,b03_hex,b04_hex,b05_hex,b06_hex,b07_hex,b08_hex,b09_hex,b10_hex,b11_hex,b12_hex,b13_hex,b14_hex,b15_hex,b16_hex,b17_hex,b18_hex,b19_hex,b20_hex,b21_hex,b22_hex,b23_hex,b24_hex,b25_hex,b26_hex,b27_hex,b28_hex,b29_hex,b30_hex,b31_hex
0,1546581600,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x46,0x66,0x0F,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1546581600,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x9D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1546585200,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x46,0x66,0x0F,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1546585200,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x9D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1546588800,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x46,0x66,0x0F,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1546588800,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x9D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1546592400,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x88,0xF8,0x0F,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1546592400,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x9D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1546596000,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x88,0xF8,0x0F,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1546596000,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x9D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1546599600,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x88,0xF8,0x0F,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1546599600,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x9D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1546603200,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x88,0xF8,0x0F,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1546603200,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x9D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
