idx,epoch,out_o0_tensor,out_o1_tensor,out_o0_float,out_o1_float,out_o0_bits_hex,out_o1_bits_hex,y_T_scaled,y_H_scaled,d_T_pred,d_H_pred,p_Tprev_phys,p_Hprev_phys,p_T_pred,p_H_pred
0,1546581600,0.56015432,0.54147011,0.56015432,0.54147011,0x3F0F6646,0x3F0A9DC9,0.56015432,0.54147011,0.02151175,0.00849776,29.04999924,67.90113068,29.07151031,67.90962982
1,1546585200,0.56015432,0.54147011,0.56015432,0.54147011,0x3F0F6646,0x3F0A9DC9,0.56015432,0.54147011,0.02151175,0.00849776,29.04999924,67.89624023,29.07151031,67.90473938
2,1546588800,0.56015432,0.54147011,0.56015432,0.54147011,0x3F0F6646,0x3F0A9DC9,0.56015432,0.54147011,0.02151175,0.00849776,29.02000046,67.81974030,29.04151154,67.82823944
3,1546592400,0.56238604,0.54147011,0.56238604,0.54147011,0x3F0FF888,0x3F0A9DC9,0.56238604,0.54147011,0.02601982,0.00849776,28.97999954,67.81496429,29.00601959,67.82346344
4,1546596000,0.56238604,0.54147011,0.56238604,0.54147011,0x3F0FF888,0x3F0A9DC9,0.56238604,0.54147011,0.02601982,0.00849776,28.97999954,67.77856445,29.00601959,67.78706360
5,1546599600,0.56238604,0.54147011,0.56238604,0.54147011,0x3F0FF888,0x3F0A9DC9,0.56238604,0.54147011,0.02601982,0.00849776,29.12000084,67.75868225,29.14602089,67.76718140
6,1546603200,0.56238604,0.54147011,0.56238604,0.54147011,0x3F0FF888,0x3F0A9DC9,0.56238604,0.54147011,0.02601982,0.00849776,29.14999962,67.62519073,29.17601967,67.63368988
7,1546606800,0.56238604,0.53926903,0.56238604,0.53926903,0x3F0FF888,0x3F0A0D89,0.56238604,0.53926903,0.02601982,0.00542263,29.20999908,67.56477356,29.23601913,67.57019806
8,1546610400,0.56238604,0.54147011,0.56238604,0.54147011,0x3F0FF888,0x3F0A9DC9,0.56238604,0.54147011,0.02601982,0.00849776,29.35000038,67.41719055,29.37602043,67.42568970
9,1546614000,0.56238604,0.53926903,0.56238604,0.53926903,0x3F0FF888,0x3F0A0D89,0.56238604,0.53926903,0.02601982,0.00542263,29.50000000,67.37581635,29.52602005,67.38124084
10,1546617600,0.56238604,0.53926903,0.56238604,0.53926903,0x3F0FF888,0x3F0A0D89,0.56238604,0.53926903,0.02601982,0.00542263,29.54999924,67.16495514,29.57601929,67.17037964
11,1546621200,0.56238604,0.53926903,0.56238604,0.53926903,0x3F0FF888,0x3F0A0D89,0.56238604,0.53926903,0.02601982,0.00542263,29.60000038,66.89015961,29.62602043,66.89558411
12,1546624800,0.56238604,0.53926903,0.56238604,0.53926903,0x3F0FF888,0x3F0A0D89,0.56238604,0.53926903,0.02601982,0.00542263,29.47999954,66.54774475,29.50601959,66.55316925
13,1546628400,0.56461769,0.54147011,0.56461769,0.54147011,0x3F108AC9,0x3F0A9DC9,0.56461769,0.54147011,0.03052777,0.00849776,29.37999916,66.07992554,29.41052628,66.08842468
14,1546632000,0.56461769,0.53926903,0.56461769,0.53926903,0x3F108AC9,0x3F0A0D89,0.56461769,0.53926903,0.03052777,0.00542263,29.28000069,65.70793152,29.31052780,65.71335602
15,1546635600,0.56238604,0.54147011,0.56238604,0.54147011,0x3F0FF888,0x3F0A9DC9,0.56238604,0.54147011,0.02601982,0.00849776,29.15999985,65.31369781,29.18601990,65.32219696
16,1546639200,0.56461769,0.54147011,0.56461769,0.54147011,0x3F108AC9,0x3F0A9DC9,0.56461769,0.54147011,0.03052777,0.00849776,29.11000061,64.98620605,29.14052773,64.99470520
17,1546642800,0.56461769,0.54367119,0.56461769,0.54367119,0x3F108AC9,0x3F0B2E09,0.56461769,0.54367119,0.03052777,0.01157290,29.10000038,64.68411255,29.13052750,64.69568634
18,1546646400,0.56238604,0.54367119,0.56238604,0.54367119,0x3F0FF888,0x3F0B2E09,0.56238604,0.54367119,0.02601982,0.01157290,29.11000061,64.36698151,29.13602066,64.37855530
19,1546650000,0.56461769,0.54367119,0.56461769,0.54367119,0x3F108AC9,0x3F0B2E09,0.56461769,0.54367119,0.03052777,0.01157290,28.95000076,63.99122620,28.98052788,64.00279999
20,1546653600,0.56461769,0.54587233,0.56461769,0.54587233,0x3F108AC9,0x3F0BBE4A,0.56461769,0.54587233,0.03052777,0.01464812,28.75000000,63.50793076,28.78052711,63.52257919
21,1546657200,0.56461769,0.54807341,0.56461769,0.54807341,0x3F108AC9,0x3F0C4E8A,0.56461769,0.54807341,0.03052777,0.01772326,28.64999962,63.01289368,28.68052673,63.03061676
22,1546660800,0.56461769,0.55027449,0.56461769,0.55027449,0x3F108AC9,0x3F0CDECA,0.56461769,0.55027449,0.03052777,0.02079839,28.79000092,62.70466232,28.82052803,62.72546005
23,1546664400,0.56684941,0.55027449,0.56684941,0.55027449,0x3F111D0B,0x3F0CDECA,0.56684941,0.55027449,0.03503584,0.02079839,28.79000092,62.51548767,28.82503700,62.53628540
