window_start,window_end,datetime_end,N,MAE,RMSE,R2,MAE_T,RMSE_T,R2_T,MAE_H,RMSE_H,R2_H
1935,1958,2019-01-04 06:00:00,24,0.1482,0.2203,0.9255,0.0838,0.1116,0.8978,0.2126,0.2909,0.9533
1936,1959,2019-01-04 07:00:00,24,0.1483,0.2202,0.8983,0.0816,0.1101,0.8563,0.2149,0.2914,0.9403
1937,1960,2019-01-04 08:00:00,24,0.1389,0.2137,0.8928,0.0720,0.0933,0.8647,0.2058,0.2875,0.9208
1938,1961,2019-01-04 09:00:00,24,0.1303,0.2055,0.8580,0.0696,0.0919,0.8212,0.1909,0.2758,0.8948
1939,1962,2019-01-04 10:00:00,24,0.1282,0.2034,0.7709,0.0740,0.0948,0.7161,0.1824,0.2717,0.8258
1940,1963,2019-01-04 11:00:00,24,0.1164,0.1859,0.6769,0.0684,0.0904,0.6335,0.1644,0.2468,0.7202
1941,1964,2019-01-04 12:00:00,24,0.1002,0.1525,0.6447,0.0632,0.0847,0.6267,0.1371,0.1983,0.6627
1942,1965,2019-01-04 13:00:00,24,0.0966,0.1429,0.5329,0.0670,0.0877,0.6126,0.1262,0.1820,0.4532
1943,1966,2019-01-04 14:00:00,24,0.0848,0.1201,0.6515,0.0620,0.0765,0.8056,0.1076,0.1517,0.4973
1944,1967,2019-01-04 15:00:00,24,0.0806,0.1112,0.7588,0.0602,0.0755,0.8589,0.1009,0.1379,0.6587
1945,1968,2019-01-04 16:00:00,24,0.0776,0.1070,0.8479,0.0565,0.0720,0.9023,0.0988,0.1331,0.7935
1946,1969,2019-01-04 17:00:00,24,0.0825,0.1163,0.8731,0.0598,0.0767,0.9005,0.1051,0.1454,0.8457
1947,1970,2019-01-04 18:00:00,24,0.0919,0.1352,0.8829,0.0611,0.0785,0.8973,0.1226,0.1743,0.8684
1948,1971,2019-01-04 19:00:00,24,0.1005,0.1467,0.8905,0.0654,0.0828,0.8827,0.1356,0.1903,0.8984
1949,1972,2019-01-04 20:00:00,24,0.1101,0.1588,0.8890,0.0689,0.0872,0.8596,0.1513,0.2070,0.9184
1950,1973,2019-01-04 21:00:00,24,0.1182,0.1664,0.8897,0.0713,0.0885,0.8450,0.1650,0.2180,0.9345
1951,1974,2019-01-04 22:00:00,24,0.1250,0.1724,0.8895,0.0730,0.0889,0.8331,0.1771,0.2270,0.9458
1952,1975,2019-01-04 23:00:00,24,0.1222,0.1711,0.8935,0.0667,0.0818,0.8294,0.1776,0.2277,0.9577
1953,1976,2019-01-05 00:00:00,24,0.1264,0.1777,0.8830,0.0691,0.0863,0.8017,0.1837,0.2359,0.9643
1954,1977,2019-01-05 01:00:00,24,0.1397,0.1941,0.8732,0.0758,0.0973,0.7799,0.2036,0.2566,0.9665
1955,1978,2019-01-05 02:00:00,24,0.1496,0.2076,0.8891,0.0795,0.1005,0.8095,0.2197,0.2758,0.9687
1956,1979,2019-01-05 03:00:00,24,0.1559,0.2128,0.8951,0.0831,0.1029,0.8178,0.2287,0.2828,0.9724
1957,1980,2019-01-05 04:00:00,24,0.1593,0.2148,0.9033,0.0834,0.1030,0.8312,0.2351,0.2858,0.9754
1958,1981,2019-01-05 05:00:00,24,0.1600,0.2150,0.9099,0.0846,0.1034,0.8422,0.2355,0.2859,0.9776
