idx,epoch,out_idx,tensor_index,type_code,type_name,bytes_total,bytes_dumped,dims_size,dim00,dim01,dim02,dim03,dim04,dim05,dim06,dim07,b00_hex,b01_hex,b02_hex,b03_hex,b04_hex,b05_hex,b06_hex,b07_hex,b08_hex,b09_hex,b10_hex,b11_hex,b12_hex,b13_hex,b14_hex,b15_hex,b16_hex,b17_hex,b18_hex,b19_hex,b20_hex,b21_hex,b22_hex,b23_hex,b24_hex,b25_hex,b26_hex,b27_hex,b28_hex,b29_hex,b30_hex,b31_hex
0,1546581600,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0x95,0x7D,0x0A,0x3F,0xD0,0x42,0x10,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
1,1546585200,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0x95,0x7D,0x0A,0x3F,0x6E,0x25,0x13,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
2,1546588800,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0x33,0x60,0x0D,0x3F,0x0C,0x08,0x16,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
3,1546592400,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0x95,0x7D,0x0A,0x3F,0x0C,0x08,0x16,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
4,1546596000,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0x95,0x7D,0x0A,0x3F,0xAA,0xEA,0x18,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
5,1546599600,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0x33,0x60,0x0D,0x3F,0x0C,0x08,0x16,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
6,1546603200,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0x33,0x60,0x0D,0x3F,0xAA,0xEA,0x18,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
7,1546606800,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0xD0,0x42,0x10,0x3F,0x0C,0x08,0x16,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
8,1546610400,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0xD0,0x42,0x10,0x3F,0x0C,0x08,0x16,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
9,1546614000,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0xD0,0x42,0x10,0x3F,0x0C,0x08,0x16,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
10,1546617600,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0xD0,0x42,0x10,0x3F,0x0C,0x08,0x16,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
11,1546621200,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0xD0,0x42,0x10,0x3F,0x6E,0x25,0x13,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
12,1546624800,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0xD0,0x42,0x10,0x3F,0xD0,0x42,0x10,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
13,1546628400,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0xD0,0x42,0x10,0x3F,0x33,0x60,0x0D,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
14,1546632000,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0x6E,0x25,0x13,0x3F,0x33,0x60,0x0D,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
15,1546635600,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0xD0,0x42,0x10,0x3F,0x95,0x7D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
16,1546639200,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0xD0,0x42,0x10,0x3F,0x95,0x7D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
17,1546642800,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0x33,0x60,0x0D,0x3F,0xF7,0x9A,0x07,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
18,1546646400,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0x33,0x60,0x0D,0x3F,0x95,0x7D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
19,1546650000,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0x33,0x60,0x0D,0x3F,0x95,0x7D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
20,1546653600,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0x33,0x60,0x0D,0x3F,0x95,0x7D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
21,1546657200,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0xD0,0x42,0x10,0x3F,0x33,0x60,0x0D,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
22,1546660800,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0xD0,0x42,0x10,0x3F,0x33,0x60,0x0D,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
23,1546664400,0,32,1,float32,8,8,2,1,2,-1,-1,-1,-1,-1,-1,0x6E,0x25,0x13,0x3F,0x95,0x7D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,
