idx,epoch,out_o0_tensor,out_o1_tensor,out_o0_float,out_o1_float,out_o0_bits_hex,out_o1_bits_hex,y_T_scaled,y_H_scaled,d_T_pred,d_H_pred,p_Tprev_phys,p_Hprev_phys,p_T_pred,p_H_pred
0,1546581600,0.54097873,0.56351948,0.54097873,0.56351948,0x3F0A7D95,0x3F1042D0,0.54097873,0.56351948,-0.01722294,0.03930301,29.04999924,67.90113068,29.03277588,67.94043732
1,1546585200,0.54097873,0.57478988,0.54097873,0.57478988,0x3F0A7D95,0x3F13256E,0.54097873,0.57478988,-0.01722294,0.05504893,29.04999924,67.89624023,29.03277588,67.95128632
2,1546588800,0.55224913,0.58606029,0.55224913,0.58606029,0x3F0D6033,0x3F16080C,0.55224913,0.58606029,0.00554328,0.07079484,29.02000046,67.81974030,29.02554321,67.89053345
3,1546592400,0.54097873,0.58606029,0.54097873,0.58606029,0x3F0A7D95,0x3F16080C,0.54097873,0.58606029,-0.01722294,0.07079484,28.97999954,67.81496429,28.96277618,67.88575745
4,1546596000,0.54097873,0.59733069,0.54097873,0.59733069,0x3F0A7D95,0x3F18EAAA,0.54097873,0.59733069,-0.01722294,0.08654077,28.97999954,67.77856445,28.96277618,67.86510468
5,1546599600,0.55224913,0.58606029,0.55224913,0.58606029,0x3F0D6033,0x3F16080C,0.55224913,0.58606029,0.00554328,0.07079484,29.12000084,67.75868225,29.12554359,67.82947540
6,1546603200,0.55224913,0.59733069,0.55224913,0.59733069,0x3F0D6033,0x3F18EAAA,0.55224913,0.59733069,0.00554328,0.08654077,29.14999962,67.62519073,29.15554237,67.71173096
7,1546606800,0.56351948,0.58606029,0.56351948,0.58606029,0x3F1042D0,0x3F16080C,0.56351948,0.58606029,0.02830938,0.07079484,29.20999908,67.56477356,29.23830795,67.63556671
8,1546610400,0.56351948,0.58606029,0.56351948,0.58606029,0x3F1042D0,0x3F16080C,0.56351948,0.58606029,0.02830938,0.07079484,29.35000038,67.41719055,29.37830925,67.48798370
9,1546614000,0.56351948,0.58606029,0.56351948,0.58606029,0x3F1042D0,0x3F16080C,0.56351948,0.58606029,0.02830938,0.07079484,29.50000000,67.37581635,29.52830887,67.44660950
10,1546617600,0.56351948,0.58606029,0.56351948,0.58606029,0x3F1042D0,0x3F16080C,0.56351948,0.58606029,0.02830938,0.07079484,29.54999924,67.16495514,29.57830811,67.23574829
11,1546621200,0.56351948,0.57478988,0.56351948,0.57478988,0x3F1042D0,0x3F13256E,0.56351948,0.57478988,0.02830938,0.05504893,29.60000038,66.89015961,29.62830925,66.94520569
12,1546624800,0.56351948,0.56351948,0.56351948,0.56351948,0x3F1042D0,0x3F1042D0,0.56351948,0.56351948,0.02830938,0.03930301,29.47999954,66.54774475,29.50830841,66.58705139
13,1546628400,0.56351948,0.55224913,0.56351948,0.55224913,0x3F1042D0,0x3F0D6033,0.56351948,0.55224913,0.02830938,0.02355717,29.37999916,66.07992554,29.40830803,66.10348511
14,1546632000,0.57478988,0.55224913,0.57478988,0.55224913,0x3F13256E,0x3F0D6033,0.57478988,0.55224913,0.05107559,0.02355717,29.28000069,65.70793152,29.33107567,65.73149109
15,1546635600,0.56351948,0.54097873,0.56351948,0.54097873,0x3F1042D0,0x3F0A7D95,0.56351948,0.54097873,0.02830938,0.00781125,29.15999985,65.31369781,29.18830872,65.32151031
16,1546639200,0.56351948,0.54097873,0.56351948,0.54097873,0x3F1042D0,0x3F0A7D95,0.56351948,0.54097873,0.02830938,0.00781125,29.11000061,64.98620605,29.13830948,64.99401855
17,1546642800,0.55224913,0.52970833,0.55224913,0.52970833,0x3F0D6033,0x3F079AF7,0.55224913,0.52970833,0.00554328,-0.00793467,29.10000038,64.68411255,29.10554314,64.67617798
18,1546646400,0.55224913,0.54097873,0.55224913,0.54097873,0x3F0D6033,0x3F0A7D95,0.55224913,0.54097873,0.00554328,0.00781125,29.11000061,64.36698151,29.11554337,64.37479401
19,1546650000,0.55224913,0.54097873,0.55224913,0.54097873,0x3F0D6033,0x3F0A7D95,0.55224913,0.54097873,0.00554328,0.00781125,28.95000076,63.99122620,28.95554352,63.99903870
20,1546653600,0.55224913,0.54097873,0.55224913,0.54097873,0x3F0D6033,0x3F0A7D95,0.55224913,0.54097873,0.00554328,0.00781125,28.75000000,63.50793076,28.75554276,63.51574326
21,1546657200,0.56351948,0.55224913,0.56351948,0.55224913,0x3F1042D0,0x3F0D6033,0.56351948,0.55224913,0.02830938,0.02355717,28.64999962,63.01289368,28.67830849,63.03644943
22,1546660800,0.56351948,0.55224913,0.56351948,0.55224913,0x3F1042D0,0x3F0D6033,0.56351948,0.55224913,0.02830938,0.02355717,28.79000092,62.70466232,28.81830978,62.72821808
23,1546664400,0.57478988,0.54097873,0.57478988,0.54097873,0x3F13256E,0x3F0A7D95,0.57478988,0.54097873,0.05107559,0.00781125,28.79000092,62.51548767,28.84107590,62.52330017
