idx,epoch,gt_Tin_true,gt_Hin_true,state_Tout_phys_raw,state_Hout_phys_raw,state_Tin_lag1_phys_raw,state_Hin_lag1_phys_raw,state_Tout_lag1_phys_raw,state_Hout_lag1_phys_raw,state_Tin_lag2_phys_raw,state_Hin_lag2_phys_raw,state_sin_hour,state_cos_hour,state_weekday,state_month,y_T_scaled,y_H_scaled,d_T_pred,d_H_pred,p_Tprev_phys,p_Hprev_phys,p_T_pred,p_H_pred
0,1546498800,27.76000023,63.92888641,27.78000069,84.00000000,27.85000038,63.95313644,27.78000069,79.00000000,27.94000053,63.97166824,0.96592581,-0.25881904,3.00000000,1.00000000,0.50716752,0.55224913,-0.08552159,0.02355717,27.85000038,63.95313644,27.76447868,63.97669220
1,1546502400,28.06999969,64.16737366,27.78000069,84.00000000,27.76000023,63.92888641,27.78000069,84.00000000,27.85000038,63.95313644,0.86602539,-0.50000000,3.00000000,1.00000000,0.50716752,0.56351948,-0.08552159,0.03930301,27.76000023,63.92888641,27.67447853,63.96818924
2,1546506000,28.17000008,64.57318115,27.78000069,79.00000000,28.06999969,64.16737366,27.78000069,84.00000000,27.76000023,63.92888641,0.70710677,-0.70710677,3.00000000,1.00000000,0.50716752,0.56351948,-0.08552159,0.03930301,28.06999969,64.16737366,27.98447800,64.20668030
3,1546509600,28.20000076,64.81292725,27.78000069,74.00000000,28.17000008,64.57318115,27.78000069,79.00000000,28.06999969,64.16737366,0.50000000,-0.86602539,3.00000000,1.00000000,0.50716752,0.56351948,-0.08552159,0.03930301,28.17000008,64.57318115,28.08447838,64.61248779
4,1546513200,28.36000061,65.39189148,27.21999931,79.00000000,28.20000076,64.81292725,27.78000069,74.00000000,28.17000008,64.57318115,0.25881904,-0.96592581,3.00000000,1.00000000,0.50716752,0.56351948,-0.08552159,0.03930301,28.20000076,64.81292725,28.11447906,64.85223389
5,1546516800,28.54000092,66.12054443,27.21999931,79.00000000,28.36000061,65.39189148,27.21999931,79.00000000,28.20000076,64.81292725,0.00000000,-1.00000000,3.00000000,1.00000000,0.51843792,0.56351948,-0.06275537,0.03930301,28.36000061,65.39189148,28.29724503,65.43119812
6,1546520400,28.59000015,66.54130554,27.78000069,74.00000000,28.54000092,66.12054443,27.21999931,79.00000000,28.36000061,65.39189148,-0.25881904,-0.96592581,3.00000000,1.00000000,0.52970833,0.56351948,-0.03998915,0.03930301,28.54000092,66.12054443,28.50001144,66.15985107
7,1546524000,28.86000061,67.04199982,28.88999939,70.00000000,28.59000015,66.54130554,27.78000069,74.00000000,28.54000092,66.12054443,-0.50000000,-0.86602539,3.00000000,1.00000000,0.52970833,0.55224913,-0.03998915,0.02355717,28.59000015,66.54130554,28.55001068,66.56486511
8,1546527600,28.81999969,67.42504120,30.00000000,70.00000000,28.86000061,67.04199982,28.88999939,70.00000000,28.59000015,66.54130554,-0.70710677,-0.70710677,3.00000000,1.00000000,0.52970833,0.55224913,-0.03998915,0.02355717,28.86000061,67.04199982,28.82001114,67.06555939
9,1546531200,28.95999908,67.76143646,31.11000061,66.00000000,28.81999969,67.42504120,30.00000000,70.00000000,28.86000061,67.04199982,-0.86602539,-0.50000000,3.00000000,1.00000000,0.52970833,0.55224913,-0.03998915,0.02355717,28.81999969,67.42504120,28.78001022,67.44860077
10,1546534800,28.92000008,67.96052551,32.22000122,66.00000000,28.95999908,67.76143646,31.11000061,66.00000000,28.81999969,67.42504120,-0.96592581,-0.25881904,3.00000000,1.00000000,0.52970833,0.54097873,-0.03998915,0.00781125,28.95999908,67.76143646,28.92000961,67.76924896
11,1546538400,28.85000038,68.01488495,32.22000122,62.00000000,28.92000008,67.96052551,32.22000122,66.00000000,28.95999908,67.76143646,-1.00000000,-0.00000000,3.00000000,1.00000000,0.54097873,0.54097873,-0.01722294,0.00781125,28.92000008,67.96052551,28.90277672,67.96833801
12,1546542000,28.85000038,68.08569336,32.22000122,62.00000000,28.85000038,68.01488495,32.22000122,62.00000000,28.92000008,67.96052551,-0.96592581,0.25881904,3.00000000,1.00000000,0.54097873,0.52970833,-0.01722294,-0.00793467,28.85000038,68.01488495,28.83277702,68.00695038
13,1546545600,28.80999947,68.06764221,32.22000122,62.00000000,28.85000038,68.08569336,32.22000122,62.00000000,28.85000038,68.01488495,-0.86602539,0.50000000,3.00000000,1.00000000,0.54097873,0.54097873,-0.01722294,0.00781125,28.85000038,68.08569336,28.83277702,68.09350586
14,1546549200,28.85000038,68.06462860,32.22000122,62.00000000,28.80999947,68.06764221,32.22000122,62.00000000,28.85000038,68.08569336,-0.70710677,0.70710677,3.00000000,1.00000000,0.54097873,0.54097873,-0.01722294,0.00781125,28.80999947,68.06764221,28.79277611,68.07545471
15,1546552800,28.87000084,68.05146027,32.22000122,62.00000000,28.85000038,68.06462860,32.22000122,62.00000000,28.80999947,68.06764221,-0.50000000,0.86602539,3.00000000,1.00000000,0.54097873,0.54097873,-0.01722294,0.00781125,28.85000038,68.06462860,28.83277702,68.07244110
16,1546556400,28.71999931,67.74334717,32.22000122,59.00000000,28.87000084,68.05146027,32.22000122,62.00000000,28.85000038,68.06462860,-0.25881904,0.96592581,3.00000000,1.00000000,0.54097873,0.52970833,-0.01722294,-0.00793467,28.87000084,68.05146027,28.85277748,68.04352570
