window_start,window_end,datetime_end,N,MAE,RMSE,R2,MAE_T,RMSE_T,R2_T,MAE_H,RMSE_H,R2_H
1935,1958,2019-01-04 06:00:00,24,0.1520,0.2203,0.8904,0.1024,0.1470,0.8224,0.2016,0.2746,0.9584
1936,1959,2019-01-04 07:00:00,24,0.1539,0.2210,0.8450,0.1027,0.1471,0.7435,0.2051,0.2757,0.9465
1937,1960,2019-01-04 08:00:00,24,0.1441,0.2119,0.8461,0.0881,0.1233,0.7637,0.2000,0.2732,0.9285
1938,1961,2019-01-04 09:00:00,24,0.1352,0.2040,0.8060,0.0811,0.1174,0.7082,0.1892,0.2636,0.9038
1939,1962,2019-01-04 10:00:00,24,0.1341,0.2032,0.6941,0.0829,0.1194,0.5494,0.1853,0.2613,0.8388
1940,1963,2019-01-04 11:00:00,24,0.1225,0.1866,0.6036,0.0737,0.1084,0.4730,0.1713,0.2406,0.7341
1941,1964,2019-01-04 12:00:00,24,0.1073,0.1556,0.5877,0.0658,0.0971,0.5098,0.1487,0.1975,0.6655
1942,1965,2019-01-04 13:00:00,24,0.1043,0.1492,0.4699,0.0667,0.0980,0.5164,0.1419,0.1869,0.4234
1943,1966,2019-01-04 14:00:00,24,0.0928,0.1269,0.6131,0.0589,0.0789,0.7934,0.1267,0.1611,0.4327
1944,1967,2019-01-04 15:00:00,24,0.0916,0.1227,0.7084,0.0598,0.0790,0.8455,0.1234,0.1545,0.5713
1945,1968,2019-01-04 16:00:00,24,0.0890,0.1218,0.8093,0.0532,0.0701,0.9074,0.1248,0.1574,0.7112
1946,1969,2019-01-04 17:00:00,24,0.0964,0.1335,0.8419,0.0594,0.0764,0.9015,0.1334,0.1727,0.7824
1947,1970,2019-01-04 18:00:00,24,0.1075,0.1531,0.8591,0.0625,0.0800,0.8934,0.1526,0.2012,0.8247
1948,1971,2019-01-04 19:00:00,24,0.1165,0.1640,0.8739,0.0671,0.0841,0.8788,0.1658,0.2162,0.8689
1949,1972,2019-01-04 20:00:00,24,0.1277,0.1764,0.8723,0.0733,0.0909,0.8474,0.1821,0.2323,0.8972
1950,1973,2019-01-04 21:00:00,24,0.1349,0.1831,0.8766,0.0742,0.0916,0.8341,0.1956,0.2422,0.9192
1951,1974,2019-01-04 22:00:00,24,0.1410,0.1884,0.8785,0.0742,0.0916,0.8228,0.2077,0.2503,0.9342
1952,1975,2019-01-04 23:00:00,24,0.1385,0.1878,0.8768,0.0689,0.0875,0.8049,0.2081,0.2507,0.9487
1953,1976,2019-01-05 00:00:00,24,0.1419,0.1930,0.8731,0.0698,0.0891,0.7889,0.2140,0.2580,0.9573
1954,1977,2019-01-05 01:00:00,24,0.1543,0.2074,0.8713,0.0748,0.0969,0.7816,0.2337,0.2768,0.9610
1955,1978,2019-01-05 02:00:00,24,0.1632,0.2193,0.8904,0.0769,0.0987,0.8164,0.2495,0.2941,0.9645
1956,1979,2019-01-05 03:00:00,24,0.1694,0.2245,0.8965,0.0802,0.1010,0.8243,0.2587,0.3009,0.9688
1957,1980,2019-01-05 04:00:00,24,0.1733,0.2265,0.9046,0.0806,0.1011,0.8371,0.2659,0.3039,0.9722
1958,1981,2019-01-05 05:00:00,24,0.1749,0.2268,0.9104,0.0829,0.1021,0.8462,0.2670,0.3040,0.9746
