replay_idx,is_seed,epoch,datetime,T_out_raw,H_out_raw,T_in_raw,H_in_raw,T_in_ref,H_in_filt_ref,T_in_lag1_ref,H_in_lag1_ref,T_in_lag2_ref,H_in_lag2_ref,T_in_ground truth,T_in_pred_python,H_in_ground truth,H_in_pred_python
0,1,1546491600,2019-01-03 05:00:00,28.8900,74.0000,27.9400,62.6400,27.9400,63.9717,,,,,,,,
1,1,1546495200,2019-01-03 06:00:00,27.7800,79.0000,27.8500,63.7400,27.8500,63.9531,27.9400,63.9717,,,,,,
2,0,1546498800,2019-01-03 07:00:00,27.7800,84.0000,27.7600,63.6500,27.7600,63.9289,27.8500,63.9531,27.9400,63.9717,27.7600,27.7645,63.9289,63.9767
3,0,1546502400,2019-01-03 08:00:00,27.7800,84.0000,28.0700,66.9100,28.0700,64.1674,27.7600,63.9289,27.8500,63.9531,28.0700,27.6745,64.1674,63.9682
4,0,1546506000,2019-01-03 09:00:00,27.7800,79.0000,28.1700,69.2400,28.1700,64.5732,28.0700,64.1674,27.7600,63.9289,28.1700,27.9845,64.5732,64.2067
5,0,1546509600,2019-01-03 10:00:00,27.7800,74.0000,28.2000,67.5700,28.2000,64.8129,28.1700,64.5732,28.0700,64.1674,28.2000,28.0845,64.8129,64.6125
6,0,1546513200,2019-01-03 11:00:00,27.2200,79.0000,28.3600,72.0500,28.3600,65.3919,28.2000,64.8129,28.1700,64.5732,28.3600,28.1145,65.3919,64.8522
7,0,1546516800,2019-01-03 12:00:00,27.2200,79.0000,28.5400,74.5000,28.5400,66.1205,28.3600,65.3919,28.2000,64.8129,28.5400,28.2972,66.1205,65.4312
8,0,1546520400,2019-01-03 13:00:00,27.7800,74.0000,28.5900,71.3800,28.5900,66.5413,28.5400,66.1205,28.3600,65.3919,28.5900,28.5000,66.5413,66.1599
9,0,1546524000,2019-01-03 14:00:00,28.8900,70.0000,28.8600,72.8000,28.8600,67.0420,28.5900,66.5413,28.5400,66.1205,28.8600,28.5500,67.0420,66.5649
10,0,1546527600,2019-01-03 15:00:00,30.0000,70.0000,28.8200,71.8300,28.8200,67.4250,28.8600,67.0420,28.5900,66.5413,28.8200,28.8200,67.4250,67.0656
