datetime,T_out,T_in,H_out,H_in,__row_id_raw,epoch
2019-01-03 05:00:00,28.89,27.94,74.00,62.64,9883,1546491600
2019-01-03 06:00:00,27.78,27.85,79.00,63.74,9884,1546495200
2019-01-03 07:00:00,27.78,27.76,84.00,63.65,9885,1546498800
2019-01-03 08:00:00,27.78,28.07,84.00,66.91,9886,1546502400
2019-01-03 09:00:00,27.78,28.17,79.00,69.24,9887,1546506000
2019-01-03 10:00:00,27.78,28.20,74.00,67.57,9888,1546509600
2019-01-03 11:00:00,27.22,28.36,79.00,72.05,9889,1546513200
2019-01-03 12:00:00,27.22,28.54,79.00,74.50,9890,1546516800
2019-01-03 13:00:00,27.78,28.59,74.00,71.38,9891,1546520400
2019-01-03 14:00:00,28.89,28.86,70.00,72.80,9892,1546524000
2019-01-03 15:00:00,30.00,28.82,70.00,71.83,9893,1546527600
2019-01-03 16:00:00,31.11,28.96,66.00,71.63,9894,1546531200
2019-01-03 17:00:00,32.22,28.92,66.00,70.25,9895,1546534800
2019-01-03 18:00:00,32.22,28.85,62.00,68.64,9896,1546538400
2019-01-03 19:00:00,32.22,28.85,62.00,68.90,9897,1546542000
2019-01-03 20:00:00,32.22,28.81,62.00,67.86,9898,1546545600
2019-01-03 21:00:00,32.22,28.85,62.00,68.03,9899,1546549200
2019-01-03 22:00:00,32.22,28.87,62.00,67.90,9900,1546552800
2019-01-03 23:00:00,32.22,28.72,59.00,64.20,9901,1546556400
2019-01-04 00:00:00,31.11,28.87,55.00,64.82,9902,1546560000
2019-01-04 01:00:00,30.00,28.96,55.00,67.82,9903,1546563600
2019-01-04 02:00:00,28.89,29.02,58.00,69.18,9904,1546567200
2019-01-04 03:00:00,28.89,29.06,62.00,69.16,9905,1546570800
2019-01-04 04:00:00,27.78,29.06,70.00,68.58,9906,1546574400
2019-01-04 05:00:00,28.89,29.05,70.00,68.50,9907,1546578000
2019-01-04 06:00:00,28.89,29.05,74.00,67.84,9908,1546581600
2019-01-04 07:00:00,27.78,29.02,74.00,66.94,9909,1546585200
2019-01-04 08:00:00,27.78,28.98,74.00,67.76,9910,1546588800
2019-01-04 09:00:00,27.78,28.98,79.00,67.36,9911,1546592400
2019-01-04 10:00:00,27.78,29.12,79.00,67.53,9912,1546596000
2019-01-04 11:00:00,27.22,29.15,79.00,66.09,9913,1546599600
2019-01-04 12:00:00,27.22,29.21,79.00,66.87,9914,1546603200
2019-01-04 13:00:00,27.22,29.35,79.00,65.72,9915,1546606800
2019-01-04 14:00:00,28.89,29.50,74.00,66.90,9916,1546610400
2019-01-04 15:00:00,30.00,29.55,70.00,64.74,9917,1546614000
2019-01-04 16:00:00,31.11,29.60,62.00,63.73,9918,1546617600
2019-01-04 17:00:00,32.22,29.48,59.00,62.61,9919,1546621200
2019-01-04 18:00:00,32.22,29.38,55.00,60.70,9920,1546624800
2019-01-04 19:00:00,32.78,29.28,52.00,61.43,9921,1546628400
2019-01-04 20:00:00,32.78,29.16,49.00,60.78,9922,1546632000
2019-01-04 21:00:00,32.78,29.11,52.00,61.22,9923,1546635600
2019-01-04 22:00:00,32.22,29.10,49.00,61.21,9924,1546639200
2019-01-04 23:00:00,31.11,29.11,52.00,60.72,9925,1546642800
2019-01-05 00:00:00,27.78,28.95,79.00,59.67,9926,1546646400
2019-01-05 01:00:00,27.22,28.75,94.00,57.95,9927,1546650000
2019-01-05 02:00:00,27.22,28.65,89.00,57.32,9928,1546653600
2019-01-05 03:00:00,27.22,28.79,89.00,59.16,9929,1546657200
2019-01-05 04:00:00,27.22,28.79,89.00,60.34,9930,1546660800
2019-01-05 05:00:00,27.78,28.77,74.00,62.13,9931,1546664400
