idx,epoch,out_idx,tensor_index,type_code,type_name,bytes_total,bytes_dumped,dims_size,dim00,dim01,dim02,dim03,dim04,dim05,dim06,dim07,b00_hex,b01_hex,b02_hex,b03_hex,b04_hex,b05_hex,b06_hex,b07_hex,b08_hex,b09_hex,b10_hex,b11_hex,b12_hex,b13_hex,b14_hex,b15_hex,b16_hex,b17_hex,b18_hex,b19_hex,b20_hex,b21_hex,b22_hex,b23_hex,b24_hex,b25_hex,b26_hex,b27_hex,b28_hex,b29_hex,b30_hex,b31_hex
0,1546581600,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x0A,0x09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1546585200,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x0A,0x09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1546588800,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x0A,0x09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1546592400,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x09,0x08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1546596000,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x0A,0x09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1546599600,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x0A,0x09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1546603200,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x09,0x08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1546606800,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x0A,0x09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1546610400,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x0A,0x09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1546614000,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x09,0x08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1546617600,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x09,0x08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1546621200,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x08,0x07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1546624800,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x09,0x08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1546628400,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x09,0x08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1546632000,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x09,0x08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1546635600,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x09,0x08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1546639200,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x0A,0x09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1546642800,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x0A,0x09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1546646400,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x0A,0x09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1546650000,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x0A,0x09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1546653600,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x0A,0x09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1546657200,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x0A,0x09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1546660800,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x0A,0x09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1546664400,0,6,9,int8,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0x0A,0x09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
