idx,epoch,out_o0_tensor,out_o1_tensor,out_o0_float,out_o1_float,out_o0_bits_hex,out_o1_bits_hex,y_T_scaled,y_H_scaled,d_T_pred,d_H_pred,p_Tprev_phys,p_Hprev_phys,p_T_pred,p_H_pred
0,1546581600,10.00000000,9.00000000,0.51181382,0.46528530,0x3F03063B,0x3EEE39E0,0.51181382,0.46528530,-0.07613552,-0.09793637,29.04999924,67.90113068,28.97386360,67.80319214
1,1546585200,10.00000000,9.00000000,0.51181382,0.46528530,0x3F03063B,0x3EEE39E0,0.51181382,0.46528530,-0.07613552,-0.09793637,29.04999924,67.89624023,28.97386360,67.79830170
2,1546588800,10.00000000,9.00000000,0.51181382,0.46528530,0x3F03063B,0x3EEE39E0,0.51181382,0.46528530,-0.07613552,-0.09793637,29.02000046,67.81974030,28.94386482,67.72180176
3,1546592400,9.00000000,8.00000000,0.46528530,0.41875675,0x3EEE39E0,0x3ED66749,0.46528530,0.41875675,-0.17012306,-0.16294134,28.97999954,67.81496429,28.80987740,67.65202332
4,1546596000,10.00000000,9.00000000,0.51181382,0.46528530,0x3F03063B,0x3EEE39E0,0.51181382,0.46528530,-0.07613552,-0.09793637,28.97999954,67.77856445,28.90386391,67.68062592
5,1546599600,10.00000000,9.00000000,0.51181382,0.46528530,0x3F03063B,0x3EEE39E0,0.51181382,0.46528530,-0.07613552,-0.09793637,29.12000084,67.75868225,29.04386520,67.66074371
6,1546603200,9.00000000,8.00000000,0.46528530,0.41875675,0x3EEE39E0,0x3ED66749,0.46528530,0.41875675,-0.17012306,-0.16294134,29.14999962,67.62519073,28.97987747,67.46224976
7,1546606800,10.00000000,9.00000000,0.51181382,0.46528530,0x3F03063B,0x3EEE39E0,0.51181382,0.46528530,-0.07613552,-0.09793637,29.20999908,67.56477356,29.13386345,67.46683502
8,1546610400,10.00000000,9.00000000,0.51181382,0.46528530,0x3F03063B,0x3EEE39E0,0.51181382,0.46528530,-0.07613552,-0.09793637,29.35000038,67.41719055,29.27386475,67.31925201
9,1546614000,9.00000000,8.00000000,0.46528530,0.41875675,0x3EEE39E0,0x3ED66749,0.46528530,0.41875675,-0.17012306,-0.16294134,29.50000000,67.37581635,29.32987785,67.21287537
10,1546617600,9.00000000,8.00000000,0.46528530,0.41875675,0x3EEE39E0,0x3ED66749,0.46528530,0.41875675,-0.17012306,-0.16294134,29.54999924,67.16495514,29.37987709,67.00201416
11,1546621200,8.00000000,7.00000000,0.41875675,0.37222824,0x3ED66749,0x3EBE94B3,0.41875675,0.37222824,-0.26411065,-0.22794627,29.60000038,66.89015961,29.33588982,66.66221619
12,1546624800,9.00000000,8.00000000,0.46528530,0.41875675,0x3EEE39E0,0x3ED66749,0.46528530,0.41875675,-0.17012306,-0.16294134,29.47999954,66.54774475,29.30987740,66.38480377
13,1546628400,9.00000000,8.00000000,0.46528530,0.41875675,0x3EEE39E0,0x3ED66749,0.46528530,0.41875675,-0.17012306,-0.16294134,29.37999916,66.07992554,29.20987701,65.91698456
14,1546632000,9.00000000,8.00000000,0.46528530,0.41875675,0x3EEE39E0,0x3ED66749,0.46528530,0.41875675,-0.17012306,-0.16294134,29.28000069,65.70793152,29.10987854,65.54499054
15,1546635600,9.00000000,8.00000000,0.46528530,0.41875675,0x3EEE39E0,0x3ED66749,0.46528530,0.41875675,-0.17012306,-0.16294134,29.15999985,65.31369781,28.98987770,65.15075684
16,1546639200,10.00000000,9.00000000,0.51181382,0.46528530,0x3F03063B,0x3EEE39E0,0.51181382,0.46528530,-0.07613552,-0.09793637,29.11000061,64.98620605,29.03386497,64.88826752
17,1546642800,10.00000000,9.00000000,0.51181382,0.46528530,0x3F03063B,0x3EEE39E0,0.51181382,0.46528530,-0.07613552,-0.09793637,29.10000038,64.68411255,29.02386475,64.58617401
18,1546646400,10.00000000,9.00000000,0.51181382,0.46528530,0x3F03063B,0x3EEE39E0,0.51181382,0.46528530,-0.07613552,-0.09793637,29.11000061,64.36698151,29.03386497,64.26904297
19,1546650000,10.00000000,9.00000000,0.51181382,0.46528530,0x3F03063B,0x3EEE39E0,0.51181382,0.46528530,-0.07613552,-0.09793637,28.95000076,63.99122620,28.87386513,63.89329147
20,1546653600,10.00000000,9.00000000,0.51181382,0.46528530,0x3F03063B,0x3EEE39E0,0.51181382,0.46528530,-0.07613552,-0.09793637,28.75000000,63.50793076,28.67386436,63.40999603
21,1546657200,10.00000000,9.00000000,0.51181382,0.46528530,0x3F03063B,0x3EEE39E0,0.51181382,0.46528530,-0.07613552,-0.09793637,28.64999962,63.01289368,28.57386398,62.91495895
22,1546660800,10.00000000,9.00000000,0.51181382,0.46528530,0x3F03063B,0x3EEE39E0,0.51181382,0.46528530,-0.07613552,-0.09793637,28.79000092,62.70466232,28.71386528,62.60672760
23,1546664400,10.00000000,9.00000000,0.51181382,0.46528530,0x3F03063B,0x3EEE39E0,0.51181382,0.46528530,-0.07613552,-0.09793637,28.79000092,62.51548767,28.71386528,62.41755295
