replay_idx,is_seed,epoch,datetime,T_out_raw,H_out_raw,T_in_raw,H_in_raw,T_in_ref,H_in_filt_ref,T_in_lag1_ref,H_in_lag1_ref,T_in_lag2_ref,H_in_lag2_ref,T_in_ground truth,T_in_pred_python,H_in_ground truth,H_in_pred_python
0,1,1546491600,2019-01-03 05:00:00,28.8900,74.0000,27.9400,62.6400,27.9400,63.9717,28.0100,64.0875,28.0500,64.0785,,,,
1,1,1546495200,2019-01-03 06:00:00,27.7800,79.0000,27.8500,63.7400,27.8500,63.9531,27.9400,63.9717,28.0100,64.0875,,,,
2,0,1546498800,2019-01-03 07:00:00,27.7800,84.0000,27.7600,63.6500,27.7600,63.9289,27.8500,63.9531,27.9400,63.9717,27.7600,27.8679,63.9289,63.9202
3,0,1546502400,2019-01-03 08:00:00,27.7800,84.0000,28.0700,66.9100,28.0700,64.1674,27.7600,63.9289,27.8500,63.9531,28.0700,27.7779,64.1674,63.8960
4,0,1546506000,2019-01-03 09:00:00,27.7800,79.0000,28.1700,69.2400,28.1700,64.5732,28.0700,64.1674,27.7600,63.9289,28.1700,28.0879,64.5732,64.1994
5,0,1546509600,2019-01-03 10:00:00,27.7800,74.0000,28.2000,67.5700,28.2000,64.8129,28.1700,64.5732,28.0700,64.1674,28.2000,28.1879,64.8129,64.5403
6,0,1546513200,2019-01-03 11:00:00,27.2200,79.0000,28.3600,72.0500,28.3600,65.3919,28.2000,64.8129,28.1700,64.5732,28.3600,28.2179,65.3919,64.7800
7,0,1546516800,2019-01-03 12:00:00,27.2200,79.0000,28.5400,74.5000,28.5400,66.1205,28.3600,65.3919,28.2000,64.8129,28.5400,28.2839,66.1205,65.3590
8,0,1546520400,2019-01-03 13:00:00,27.7800,74.0000,28.5900,71.3800,28.5900,66.5413,28.5400,66.1205,28.3600,65.3919,28.5900,28.4639,66.5413,66.0226
9,0,1546524000,2019-01-03 14:00:00,28.8900,70.0000,28.8600,72.8000,28.8600,67.0420,28.5900,66.5413,28.5400,66.1205,28.8600,28.5139,67.0420,66.5084
10,0,1546527600,2019-01-03 15:00:00,30.0000,70.0000,28.8200,71.8300,28.8200,67.4250,28.8600,67.0420,28.5900,66.5413,28.8200,28.7839,67.4250,66.9441
11,0,1546531200,2019-01-03 16:00:00,31.1100,66.0000,28.9600,71.6300,28.9600,67.7614,28.8200,67.4250,28.8600,67.0420,28.9600,28.7439,67.7614,67.3271
12,0,1546534800,2019-01-03 17:00:00,32.2200,66.0000,28.9200,70.2500,28.9200,67.9605,28.9600,67.7614,28.8200,67.4250,28.9200,28.8839,67.9605,67.6635
13,0,1546538400,2019-01-03 18:00:00,32.2200,62.0000,28.8500,68.6400,28.8500,68.0149,28.9200,67.9605,28.9600,67.7614,28.8500,28.7499,68.0149,67.7976
14,0,1546542000,2019-01-03 19:00:00,32.2200,62.0000,28.8500,68.9000,28.8500,68.0857,28.8500,68.0149,28.9200,67.9605,28.8500,28.6799,68.0857,67.8519
15,0,1546545600,2019-01-03 20:00:00,32.2200,62.0000,28.8100,67.8600,28.8100,68.0676,28.8500,68.0857,28.8500,68.0149,28.8100,28.6799,68.0676,67.9227
16,0,1546549200,2019-01-03 21:00:00,32.2200,62.0000,28.8500,68.0300,28.8500,68.0646,28.8100,68.0676,28.8500,68.0857,28.8500,28.6399,68.0646,67.9047
17,0,1546552800,2019-01-03 22:00:00,32.2200,62.0000,28.8700,67.9000,28.8700,68.0515,28.8500,68.0646,28.8100,68.0676,28.8700,28.7739,68.0515,67.9667
18,0,1546556400,2019-01-03 23:00:00,32.2200,59.0000,28.7200,64.2000,28.7200,67.7433,28.8700,68.0515,28.8500,68.0646,28.7200,28.7939,67.7433,67.9535
19,0,1546560000,2019-01-04 00:00:00,31.1100,55.0000,28.8700,64.8200,28.8700,67.5095,28.7200,67.7433,28.8700,68.0515,28.8700,28.5499,67.5095,67.5804
20,0,1546563600,2019-01-04 01:00:00,30.0000,55.0000,28.9600,67.8200,28.9600,67.5343,28.8700,67.5095,28.7200,67.7433,28.9600,28.6999,67.5343,67.3465
21,0,1546567200,2019-01-04 02:00:00,28.8900,58.0000,29.0200,69.1800,29.0200,67.6660,28.9600,67.5343,28.8700,67.5095,29.0200,28.7899,67.6660,67.3714
22,0,1546570800,2019-01-04 03:00:00,28.8900,62.0000,29.0600,69.1600,29.0600,67.7855,29.0200,67.6660,28.9600,67.5343,29.0600,28.9439,67.7855,67.5680
23,0,1546574400,2019-01-04 04:00:00,27.7800,70.0000,29.0600,68.5800,29.0600,67.8491,29.0600,67.7855,29.0200,67.6660,29.0600,28.9839,67.8491,67.6876
24,0,1546578000,2019-01-04 05:00:00,28.8900,70.0000,29.0500,68.5000,29.0500,67.9011,29.0600,67.8491,29.0600,67.7855,29.0500,28.9839,67.9011,67.7511
